FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
105,Secret Superstar,19-10-2017,196,Zaira Wasim,501,Bollywood,650,50.0,5.0,912.6,831.4,81.2,Blockbuster,7.8,150,Amazon Prime Video,2017,10,October,Thursday
106,Tiger Zinda Hai,22-12-2017,197,Salman Khan,501,Bollywood,651,200.0,65.2,558.0,124.2,433.8,Blockbuster,5.9,161,Amazon Prime Video,2017,12,December,Friday
108,Hindi Medium,19-05-2017,198,Irrfan Khan,501,Bollywood,620,25.0,3.5,334.0,237.4,96.6,Blockbuster,7.8,132,Amazon Prime Video,2017,5,May,Friday
107,Golmaal Again,20-10-2017,105,Ajay Devgn,501,Bollywood,652,135.0,31.0,308.5,45.7,262.8,Blockbuster,5.0,140,Amazon Prime Video,2017,10,October,Friday
125,Fukrey Returns,08-12-2017,211,Pulkit Samrat,501,Bollywood,631,25.0,8.1,112.2,4.0,108.2,Super Hit,6.5,141,Amazon Prime Video,2017,12,December,Friday
115,Badrinath Ki Dulhania,10-03-2017,112,Varun Dhawan,501,Bollywood,608,40.0,12.2,201.0,39.0,162.0,Super Hit,6.1,139,Amazon Prime Video,2017,3,March,Friday
112,Judwaa 2,29-09-2017,120,Varun Dhawan,501,Bollywood,615,65.0,16.0,227.5,35.0,192.5,Super Hit,3.6,145,Netflix,2017,9,September,Friday
129,Half Girlfriend,19-05-2017,109,Shraddha Kapoor,501,Bollywood,636,50.0,10.3,97.6,16.3,81.3,Average,4.6,135,Amazon Prime Video,2017,5,May,Friday
155,Munna Michael,21-07-2017,121,Tiger Shroff,501,Bollywood,662,45.0,6.7,48.2,2.6,45.6,Flop,3.4,140,Amazon Prime Video,2017,7,July,Friday
109,Toilet - Ek Prem Katha,11-08-2017,199,Akshay Kumar,501,Bollywood,608,75.0,15.0,316.9,130.5,186.4,Super Hit,7.2,155,Amazon Prime Video,2017,8,August,Friday
110,Raees,25-01-2017,200,Shah Rukh Khan,501,Bollywood,605,100.0,20.4,286.5,95.5,191.0,Above Average,6.6,143,Netflix,2017,1,January,Wednesday
113,Kaabil,25-01-2017,202,Hrithik Roshan,501,Bollywood,609,90.0,10.4,212.8,67.0,145.8,Above Average,7.1,139,Amazon Prime Video,2017,1,January,Wednesday
114,Tubelight,23-06-2017,203,Salman Khan,501,Bollywood,653,100.0,21.2,211.2,45.6,165.6,Flop,3.9,136,Amazon Prime Video,2017,6,June,Friday
116,Jolly LLB 2,10-02-2017,204,Akshay Kumar,501,Bollywood,642,85.0,13.2,197.3,34.8,162.5,Hit,7.2,137,Disney+ Hotstar,2017,2,February,Friday
117,Mom,07-07-2017,205,Sridevi,501,Bollywood,654,35.0,3.0,178.5,126.7,51.8,Hit,7.2,146,Netflix,2017,7,July,Friday
119,Jab Harry Met Sejal,04-08-2017,207,Shah Rukh Khan,501,Bollywood,608,90.0,15.2,153.4,64.1,89.3,Below Average,5.1,143,Amazon Prime Video,2017,8,August,Friday
123,Baadshaho,01-09-2017,209,Ajay Devgn,501,Bollywood,651,85.0,12.6,123.4,15.0,108.4,Below Average,4.9,124,Netflix,2017,9,September,Friday
130,Mubarakan,28-07-2017,215,Anil Kapoor,501,Bollywood,630,60.0,5.1,93.1,16.3,76.8,Average,5.6,156,Netflix,2017,7,July,Friday
132,Jagga Jasoos,14-07-2017,217,Ranbir Kapoor,501,Bollywood,656,120.0,8.5,83.3,8.1,75.2,Disaster,6.4,161,Disney+ Hotstar,2017,7,July,Friday
136,Sachin,26-05-2017,220,Sachin Tendulkar,501,Bollywood,658,35.0,8.6,70.8,5.7,65.1,Hit,8.5,138,Amazon Prime Video,2017,5,May,Friday
138,Shubh Mangal Saavdhan,01-09-2017,222,Ayushmann Khurrana,501,Bollywood,630,20.0,2.7,64.0,4.6,59.4,Hit,6.9,119,Amazon Prime Video,2017,9,September,Friday
143,Bareilly Ki Barfi,18-08-2017,226,Ayushmann Khurrana,501,Bollywood,630,20.0,3.1,58.5,10.7,47.8,Hit,7.5,116,Netflix,2017,8,August,Friday
145,Tumhari Sulu,24-11-2017,228,Vidya Balan,501,Bollywood,620,20.0,2.8,56.4,10.1,46.3,Hit,7.0,150,Amazon Prime Video,2017,11,November,Friday
153,Phillauri,24-03-2017,233,Anushka Sharma,501,Bollywood,660,25.0,4.1,49.7,12.1,37.6,Average,6.1,138,Amazon Prime Video,2017,3,March,Friday
